,USER_ID,alaska basil,alcohol future,alice ticket,alien potato,asia jacket,aztec iris,balance hostel,betty today,boston house,bronze sweden,bundle forget,cairo monarch,choice copy,cinema complex,cipher empty,cockpit circle,comedy clean,daniel global,degree forever,diana chariot,diesel jason,diploma vocal,epoxy insect,explain heaven,flame street,fractal heart,fresh shave,frozen command,gelatin prime,glass alpine,good info,gossip cotton,hand inca,harbor moral,helena poncho,henry distant,invent topic,judge sunday,july miami,kermit desert,leonid antenna,lesson switch,lexicon ingrid,liquid baggage,logic channel,loyal jungle,master nobody,medusa cuba,mercy chaos,mineral barcode,moment seminar,motel marvin,neptune before,ninja saga,north speed,nurse october,office triton,pardon thomas,parody athena,pegasus respond,percent edison,plume cowboy,provide flex,reverse royal,rider shine,sabine emotion,saint texas,salon pulse,scale phone,season arthur,segment meter,senator ozone,serial organic,shannon resume,sheriff java,silk gizmo,silver plate,similar malta,siren junior,solid express,spray karma,stella micro,stop door,sushi import,tarzan juliet,telecom pluto,textile strange,theory france,torso cricket,tower fantasy,trivial neon,tuna relax,tunnel nerve,turtle pierre,update vibrate,vampire teacher,ventura next,vodka bahama,volume pasta,zero nikita
4,100976,1.2812734079974941,4.505749569171673,4.924648835612879,7.0,8.16166808270162,6.0,2.154545266545253,5.675409425170324,5.0,2.6305708180572265,0.0,9.0,4.0,9.07914534416823,6.964196435695478,2.548756211848384,7.708889169919293,0.0,5.0,4.206983051581819,0.3820825285460885,10.118623448772789,6.471634629347037,0.8041778183850674,3.4778230794613956,0.0,3.991600457475912,3.1196956627098054,8.065019038749673,-0.4882686883964981,1.0,4.159569996325536,-0.30464939090934323,2.0,-1.7080367229965074,4.0,4.570771200422869,10.0,6.493051233174838,0.8605266116237552,9.0,9.964454456641334,4.478987632290972,5.408257000247908,9.622985006899091,1.624080971622119,6.0,8.441435493722281,0.7420930490296791,0.8829008285961346,0.0,0.4672474196900487,3.092250130405105,8.646463242269867,4.458348521979552,4.0,4.903508796732752,8.049179197304404,11.02239673802785,9.911636493266524,1.43471721600769,3.0,3.791012111503404,10.0,1.6536956358066723,-0.848526143378461,9.593279443613564,5.245939929940603,0.8248175876664532,7.819181095104563,3.0,9.0,7.416457161655414,4.124295489797594,0.0,0.6535895907087353,5.0,-0.0002574341074003959,5.0,9.0,2.0,7.0,10.0,4.0,2.1930048919408067,1.0,8.0,1.8026075480711443,-0.9841527758080265,9.0,7.280350688066319,7.673898869824286,0.0,0.0,9.007034668017138,0.0,7.44274681540617,10.90811039084923,9.0,3.0
7,101001,1.1339702402486032,8.987554933374277,8.05948228051409,2.0,5.685847902561307,8.0,1.568093134200571,10.35921013180119,1.0,2.0,0.12885694182965765,9.722075870489306,6.0,7.0,5.0,-0.3036261895069101,6.0,0.3714795347864201,5.0,7.0,8.0,7.0,1.0,1.2910793326833314,8.187851972915997,2.3621238989417637,7.934568038548262,6.0,4.9397175652581735,1.0,4.0,6.0,0.4659296392542142,8.0,0.0,9.0,2.0,2.0,10.0,1.3379153883938129,8.0,9.57893223916618,0.5189959775250803,7.091360902084125,8.0,3.9754488677393645,4.0,6.366504894088306,1.0,7.030129619835974,2.7880698701569555,2.0,8.182207364386835,9.0,1.0,5.593989083082927,2.0,6.62105771079198,9.0,8.0,3.0,0.0,8.866835333019294,8.330541601998629,-0.1132598531302017,7.0,10.0,7.850127464737725,1.0,2.0,0.6619071578720797,4.395335237893174,4.507839823168085,2.6649931841486154,2.0,-2.455257619314601,9.704629149331158,6.464838151252602,1.4855252579658629,2.0,8.0,10.0,7.0,1.0,6.0,3.0,11.057627260856801,2.0,3.038628158325214,3.2105142907105364,3.689808458868793,4.666413636675386,3.065817926322763,5.612524283090784,8.0,9.0,5.581113441190152,2.0,9.0,8.0
11,101021,1.9706982098553036,3.324668010775805,4.0,7.0,8.300373416486574,6.0,2.6658053814555402,4.6205868436486055,6.575475818015945,3.2397507639077876,0.0,8.375564015995117,3.654608604742,9.0,6.617712199044284,2.0,7.0,1.0,5.716849399643761,3.0,0.0,10.0,6.874298212785735,1.0,2.841736279970372,0.0,3.0,3.3577545625454555,9.0,0.0,2.0563786503372876,4.3232387855667,0.0,2.0,0.0,4.0,4.912690453377864,10.0,5.304188367220918,1.0,8.0,10.41552877488556,4.741440460134752,5.0,8.907761601508952,2.0,6.0,8.301993247552133,1.4375476030622956,0.740612666613482,0.0,1.1359457212014552,2.0,8.414523380483491,5.711326982584573,3.2419225481086884,6.193465500886115,7.785642658812778,10.0,9.0,1.7997590173583187,4.5601268644889625,2.0,10.0,2.0,-0.5119563735794082,9.541125912664409,4.655333180082125,1.0,8.0,3.698508583033616,8.590555487611148,7.731340429527753,4.0,0.0,1.1863329914903666,4.0,0.0,7.0,9.817615069216675,1.798062580208173,6.10800406162787,10.0,5.0,2.757154619343727,1.1020783625143622,6.870471620406144,2.562511877380215,0.0,8.0,7.496287947191119,7.84681924422815,1.2237327264577271,-0.2078428774042253,9.0,0.0,8.0,10.0,8.0,2.0
12,101022,5.597564966397952,6.4434100667786804,5.130016562021632,4.346825769198927,3.0,5.0,5.548781674548337,5.960012490778738,4.103834136437217,5.85050904283941,6.448704097641622,4.321313663107155,5.493974195894652,3.8761038575814357,4.630665455127304,5.7061965068928595,4.0,6.032788901549749,5.0,6.4661903918079,7.0,2.8348015216389433,3.695767650847312,6.662145462010857,6.09903371328954,6.796188539860975,6.058505504428534,5.448361423240788,4.0,6.917279824349048,6.0,5.310661992357894,7.150862211193489,6.0,6.8436789675749905,5.751291090358287,5.113724952558913,3.0,6.0,6.0,3.7765453430994844,2.481239725464964,5.288450961430467,6.0,3.0,6.0,4.995396082249971,3.8560450600161182,6.275816976898731,7.0,7.0,6.0,6.0,4.201097488986413,4.0,6.0,4.0,4.0,3.0,4.0,6.0,4.0,7.604646520919862,3.0,5.950366839759492,8.0,3.988132448695828,5.0,6.434265169986092,4.0,5.473660110436263,2.8436845297936775,4.071362677251794,5.208193868416824,7.0,5.0,5.64721284454343,7.241392311234648,4.0,3.6234060609223135,6.218863233843574,5.129975206181908,2.9694100034536905,5.0,5.0,6.041163021011308,5.0,6.0,8.0,4.5930587830665415,4.004751503283631,4.143803463479729,6.0,7.0,3.0,7.0,3.735659604834802,3.0,4.257030895700533,6.572214058044515
13,101029,0.8098794681609306,8.0,8.0,3.8519866668591916,7.082890123826841,8.0,1.5663592418818133,8.766036709549187,2.457926767789707,2.4360752423570067,0.0,10.12203099854809,5.0,8.0,6.158958193477048,0.19177898888479158,7.0,0.0,5.0,5.0,4.0,9.0,3.1626467124599102,1.0,6.123689347610482,0.37239411003689765,5.9749185726166205,6.0,6.592316502585293,1.0,2.0,5.12067248080942,0.0,4.0,-1.2128244007948397,7.742677532713041,3.0,6.318086607032595,8.999389714953185,1.0,8.0,10.133946518738803,1.0,6.946150325910625,9.0,3.0,4.934143833527887,7.355793162990363,0.3421529120923369,3.9216073584576523,0.21640453734378343,0.051334969669481735,5.90658490900377,9.0,1.7156021539532895,4.346008740081878,3.0,7.685697740175763,10.0,9.11078077677126,2.0,-0.08429008186769561,7.0,10.0,1.0,2.0,10.0,6.591498534981975,0.4767043271171763,4.0,2.0,7.0,5.0,3.3949789195000903,0.0,-1.3700954778942054,8.0,3.0,2.9967319841539233,5.0,6.0,9.0,9.0,2.0,3.326338876358946,0.6774584602057481,9.0,2.0,0.8882282814627475,5.0,5.0,5.0,1.4965441968739954,3.0,9.0,4.886261734970744,6.0,8.0,9.148798615033899,5.874041971403936
15,101039,2.285864145903776,3.7568150788356633,5.0,5.979643077266641,8.0,5.0,3.0780439952878447,5.0,5.0,4.0,0.3307020972079538,7.0,3.6217001197093115,9.0,6.0,3.0768742321933087,8.0,1.0,6.0,4.0,0.4911815491083612,10.0,8.0,0.3341645941215827,3.0,0.01884331976451546,3.847286434593445,3.0,8.0,0.0,1.0,4.0,-0.25140606396601095,2.0,0.0,5.0,4.0,10.0,5.235441465968639,1.0,7.356474105793604,10.0,4.364541910753999,6.0,10.0,2.104077351332356,5.048272620064537,7.0,1.0,1.0,0.0,1.0,2.7797144880135742,9.0,5.153711010653594,3.1444721596541445,5.0,7.485536076104771,10.0,9.51453204107828,2.0,4.234776450704019,3.3151504615752008,9.720239444934707,1.8729543073477435,-0.19284855607048268,8.711637882950226,6.0,0.6429050321669456,7.385864863671091,4.0,7.0,7.110413347502191,4.0,0.0,1.0,5.023983440248772,1.0,5.0,9.0,2.0,8.0,9.553124310458694,5.0,2.6875545703014505,1.0,7.1316790138583315,2.0,0.0,7.61993519054908,7.0,6.947253265153033,1.0,0.14807571678006745,9.085596862932615,1.1806435660785173,7.0,10.0,7.691775064329619,4.0
16,101044,7.0,2.0,1.139516508947951,7.0,4.0,2.0,7.0,1.0,8.0,6.392531024836619,9.0,1.0,5.0,4.5932291732134445,6.0,9.0,5.991998001360712,8.0,5.4407423818673815,3.0,2.0,5.0,8.11193257745421,7.0,3.0,6.141329403438853,3.33612000356001,2.0,6.0,5.0,4.8164910299466435,4.0,8.0,4.118185191992003,8.0,1.1990228871046857,7.0,8.220733337038505,2.0,6.625827244360725,4.0,1.0,9.0,3.0,6.0,4.733848301239658,6.0,5.0,7.0,2.0,6.0,7.0,2.0,2.0,8.0,4.232153250201423,7.620705417185007,5.0,3.0,4.0,5.0,10.0,2.0,2.0,8.0,2.0,1.6332559270302207,3.17468296825137,7.132076606796241,8.0,7.0,5.852270791822599,7.607966938814646,6.0,5.0,8.456713140631008,2.1405858719679753,2.324524739409007,8.38614100021158,8.0,2.0,1.0,4.677487509742957,8.104830257028521,4.0,8.0,1.0,5.0,3.0,7.0,7.590979614163242,7.397423341540796,5.0,2.223350802681067,3.7835850055421587,1.9773724209313388,6.0,8.102172469452402,3.0,2.0
18,101053,6.0,1.551051868014189,1.6501497534141165,7.54198501442444,5.714426554850876,2.0,6.0,1.0,8.0,6.0,5.977820213302231,2.0433316633534666,3.6399109428916523,6.0,5.875922622300882,8.528596407967203,6.278695035480095,7.0,5.3785942036805805,3.495329264479544,1.0,7.0853754984194435,8.45586147623325,4.534218061914729,2.0,3.689169280691687,3.0,2.0,6.0,3.0,3.4315654679659158,3.7666374018332034,4.846251027654599,3.0,4.0,2.0,6.0,9.0,2.0,4.933065777861152,5.0,4.0,8.0,3.3628470595275353,7.0,3.0,5.516141109303709,5.999931413246365,5.131020681796604,1.0,2.884881635394511,4.552922664240733,2.0085218772884277,3.0,8.085811646296692,3.0,7.4426945755627445,6.0409392652576255,6.0,6.176820947450698,4.073287991851064,8.919399454460798,2.0,5.0,7.0,1.1821223458202827,2.0,3.511595705241927,5.0,8.0,7.0,6.325332644272084,7.0,6.0,2.676909546207952,7.487593089097629,2.0,1.0,8.0,9.0,1.5119855421423336,2.0,6.614190387026857,8.0,3.477803690025436,6.0,2.0,4.0,2.0313728381525737,7.964727436184255,7.0,6.0,3.0,1.0,5.748649900672715,1.0,6.0,9.365792722781656,4.0,2.3077968999385554
19,101055,7.901590732525204,3.0,4.0,5.616382121666691,3.483303171977642,3.0,7.35723818484502,2.0,6.417766825940075,7.0,8.0,2.0,4.92785389252558,3.0,4.352355809803313,8.0,5.0,8.0,5.663967783858342,4.867340305439779,4.0426534734620265,3.0,6.0,7.825392776376945,4.0,7.0,4.0,4.1794344581326115,5.0,7.368101727392323,6.531459047014567,5.0,9.0,5.0,9.0,3.7988288010652798,6.0,5.0,3.053828489493049,7.4143214034620675,2.3731549588933607,0.32094397126770546,6.985829552779503,3.0,2.6903123669718143,7.0,4.0,4.0,8.52500484484845,4.500749140508491,7.850841949065263,7.0,4.0,2.2014946176175765,7.0,5.0,7.0,4.0,1.0,3.215036732277849,6.0,8.0,4.2757086816063845,0.7678186963457998,8.0,6.0,1.875679768830531,3.9207353569799883,7.71573446647582,5.9231260747321315,6.0,4.0,5.461395730297173,6.0,9.0,8.0,3.949492747508717,4.701791992057857,6.347592828082439,5.0,4.0,3.3702653847841835,3.0,6.577203477533945,6.0,7.783268032415729,3.5349289824964774,6.854233786984249,8.0,5.059093809803721,5.0,4.899159249599022,7.0,4.68949043379292,2.5162008831541542,5.0,6.0,4.0,2.5218751204843564,4.339213538705971
23,101081,8.0,2.0,2.0,8.0,4.0,2.2136312941749465,7.20325946219416,1.0,9.0,7.0,9.076492516106176,1.0,3.916234352334887,3.0,4.6782941031136,10.0,5.0,8.336431048978863,5.0,4.0,2.0,4.0,7.806541664915976,9.0,2.0,6.799129462685702,2.5039830657207767,3.0,4.0,7.095857308853522,5.0,3.531768926587714,9.0,3.0,8.619255685896805,1.0,6.618462055976231,8.0,1.0468287851639384,7.38572403525764,2.133457413289911,-0.7560367494747425,9.0,3.0,2.8118187384554534,5.3935739229042605,6.0,3.0,8.0,2.764227504136929,5.980587065132977,8.0,2.7000736014698683,1.0,8.662569156982629,3.426930759095707,6.611903920664474,3.0,1.0,3.0,5.0,9.076200947218938,2.8600397805986475,1.0,9.527654559987694,3.655972029067148,0.35173934121936684,3.0,8.260304190195267,8.0,8.0,5.0,5.594079571990145,6.0,7.0,9.509463990800862,1.0,2.8926751999137195,8.0,8.0,2.06046964538429,1.0,3.0286260094850608,9.0,4.224487463017104,6.983489226615172,0.6141376416039189,6.0545504295628545,6.0,7.242399745880374,6.0,5.0,5.990793460930509,3.1474670401868825,2.0,1.0,4.0,7.0,0.5909484392296382,3.0
