USER_ID,alaska basil,alcohol future,alice ticket,alien potato,asia jacket,aztec iris,balance hostel,betty today,boston house,bronze sweden,bundle forget,cairo monarch,choice copy,cinema complex,cipher empty,cockpit circle,comedy clean,daniel global,degree forever,diana chariot,diesel jason,diploma vocal,epoxy insect,explain heaven,flame street,fractal heart,fresh shave,frozen command,gelatin prime,glass alpine,good info,gossip cotton,hand inca,harbor moral,helena poncho,henry distant,invent topic,judge sunday,july miami,kermit desert,leonid antenna,lesson switch,lexicon ingrid,liquid baggage,logic channel,loyal jungle,master nobody,medusa cuba,mercy chaos,mineral barcode,moment seminar,motel marvin,neptune before,ninja saga,north speed,nurse october,office triton,pardon thomas,parody athena,pegasus respond,percent edison,plume cowboy,provide flex,reverse royal,rider shine,sabine emotion,saint texas,salon pulse,scale phone,season arthur,segment meter,senator ozone,serial organic,shannon resume,sheriff java,silk gizmo,silver plate,similar malta,siren junior,solid express,spray karma,stella micro,stop door,sushi import,tarzan juliet,telecom pluto,textile strange,theory france,torso cricket,tower fantasy,trivial neon,tuna relax,tunnel nerve,turtle pierre,update vibrate,vampire teacher,ventura next,vodka bahama,volume pasta,zero nikita
100953,2,,4,6,3,4,3,,8,2,7,,,6,7,,6,,5,6,6,3,,9,,7,,2,,4,3,,,7,,1,5,,8,4,,5,8,,,4,8,5,6,7,4,,,,,5,2,4,,5,,,,5,6,5,,,7,7,,,,,,,,6,7,7,3,,,,,6,,3,2,7,,,,,,,,4,3,5
100955,6,4,,5,,,,6,,,5,4,,,6,6,5,6,5,,,,6,6,,7,7,2,5,3,5,,5,,,5,,4,8,,,,5,,7,,,,,5,,,,,4,,,,,5,,6,,3,,5,,7,5,,,4,7,,5,,,5,6,,,5,,5,,,6,,4,,7,7,,5,,,6,,,4
100965,4,,1,5,,,6,,,2,6,,6,4,,4,,,5,3,6,,4,8,7,3,,,,4,,6,,,4,7,8,,,,6,8,1,,5,4,5,5,,8,6,4,,,4,,8,,,,5,,,,5,5,3,6,,4,,4,,3,6,4,5,3,5,,,,,3,,,,4,,6,4,4,,,,,,,3,4
100968,10,,1,3,,5,7,6,,,3,,,5,,6,4,9,,1,,,7,,6,8,,3,,,,8,3,9,9,,,2,8,6,,,,,,6,,,,,,2,,4,,9,,,1,,8,5,,,,5,7,,2,2,,2,9,5,,,,,4,,,6,,3,,,9,7,,,8,9,,,,10,10,,10,2
100976,,,,7,,6,,,5,,0,9,4,,,,,0,5,,,,,,,0,,,,,1,,,2,,4,,10,,,9,,,,,,6,,,,0,,,,,4,,,,,,3,,10,,,,,,,3,9,,,0,,5,,5,9,2,7,10,4,,1,8,,,9,,,0,0,,0,,,9,3
100986,,8,0,,0,,5,8,,1,,,8,,,9,,6,2,4,9,,,,7,9,9,1,3,,,4,,9,,1,,,10,4,,,,,,2,8,,,7,,,,,,9,,8,6,,,9,5,1,4,,,6,7,,5,3,,,2,,,7,,,2,,5,,4,9,,3,1,9,,9,5,7,,2,,,8,
100993,,,,,7,5,,,3,5,4,2,,3,,6,,,6,,6,,3,5,,,,6,7,,,,4,3,,2,,7,4,3,,3,5,,,,8,5,5,5,6,,,,3,,5,5,,7,,7,,,4,4,,5,5,3,,4,,,5,6,,,,5,6,,,6,8,,6,7,,,,4,4,,,,6,5,,
101001,,,,2,,8,,,1,2,,,6,7,5,,6,,5,7,8,7,1,,,,,6,,1,4,6,,8,0,9,2,2,10,,8,,,,8,,4,,1,,,2,,9,1,,2,,9,8,3,0,,,,7,10,,1,2,,,,,2,,,,,2,8,10,7,1,6,3,,2,,,,,,,8,9,,2,9,8
101010,2,6,,5,9,,4,3,,6,,7,3,3,2,2,5,,,8,2,,,3,,1,,9,4,8,4,,5,1,,,,,1,,,4,5,,2,,,3,,6,,,6,,,,2,,7,,,2,7,9,,5,,,5,,6,,,4,5,,,5,4,7,,7,,6,3,,,5,7,,,1,,,,3,,,1,
101013,1,7,8,7,,,,4,7,,8,,,,,,7,2,,,3,,,7,5,4,,,,,,,,,,1,,,,3,6,5,8,,4,4,,2,5,6,1,,7,5,4,,,,,6,2,6,,8,,,4,2,,,6,,,,,8,,,,9,,,,7,2,,,2,,8,,2,,6,,,,2,1,
